Time,Metric,Value,Seed,Component
6500.000000,ResponseTime,13.712513,123456789,System
6500.000000,Population,7.220529,123456789,A
6500.000000,Population,4.416786,123456789,B
6500.000000,Population,4.881284,123456789,P
6500.000000,Population,16.518342,123456789,System
6500.000000,Throughput,3.611538,123456789,A
6500.000000,Throughput,1.204154,123456789,B
6500.000000,Throughput,1.203231,123456789,P
6500.000000,Throughput,1.202769,123456789,System
6500.000000,Utilization,0.891603,123456789,A
6500.000000,Utilization,0.887728,123456789,B
6500.000000,Utilization,0.831006,123456789,P
6500.000000,Utilization,0.997882,123456789,System
6500.000000,WaitTime,1.750916,123456789,A
6500.000000,WaitTime,2.860618,123456789,B
6500.000000,WaitTime,3.366169,123456789,P
6750.000000,ResponseTime,1.973447,123456789,A
6750.000000,ResponseTime,3.685958,123456789,B
6750.000000,ResponseTime,4.026353,123456789,P
6750.000000,ResponseTime,13.635612,123456789,System
6750.000000,Population,7.131598,123456789,A
6750.000000,Population,4.444526,123456789,B
6750.000000,Population,4.844150,123456789,P
6750.000000,Population,16.419836,123456789,System
6750.000000,Throughput,3.611407,123456789,A
6750.000000,Throughput,1.204148,123456789,B
6750.000000,Throughput,1.203111,123456789,P
6750.000000,Throughput,1.202667,123456789,System
6750.000000,Utilization,0.890503,123456789,A
6750.000000,Utilization,0.888124,123456789,B
6750.000000,Utilization,0.832079,123456789,P
6750.000000,Utilization,0.997838,123456789,System
6750.000000,WaitTime,1.727035,123456789,A
6750.000000,WaitTime,2.883408,123456789,B
6750.000000,WaitTime,3.334747,123456789,P
7000.000000,ResponseTime,1.976463,123456789,A
7000.000000,ResponseTime,3.691152,123456789,B
7000.000000,ResponseTime,3.995195,123456789,P
7000.000000,ResponseTime,13.612012,123456789,System
7000.000000,Population,7.129364,123456789,A
7000.000000,Population,4.441960,123456789,B
7000.000000,Population,4.800931,123456789,P
7000.000000,Population,16.372636,123456789,System
7000.000000,Throughput,3.606571,123456789,A
7000.000000,Throughput,1.202857,123456789,B
7000.000000,Throughput,1.201286,123456789,P
7000.000000,Throughput,1.201143,123456789,System
7000.000000,Utilization,0.891047,123456789,A
7000.000000,Utilization,0.889171,123456789,B
7000.000000,Utilization,0.831859,123456789,P
7000.000000,Utilization,0.998031,123456789,System
7000.000000,WaitTime,1.729460,123456789,A
7000.000000,WaitTime,2.885898,123456789,B
7000.000000,WaitTime,3.302975,123456789,P
7250.000000,ResponseTime,1.963057,123456789,A
7250.000000,ResponseTime,3.661272,123456789,B
7250.000000,ResponseTime,3.962674,123456789,P
7250.000000,ResponseTime,13.515518,123456789,System
7250.000000,Population,7.083876,123456789,A
7250.000000,Population,4.403314,123456789,B
7250.000000,Population,4.764500,123456789,P
7250.000000,Population,16.250738,123456789,System
7250.000000,Throughput,3.607034,123456789,A
7250.000000,Throughput,1.202621,123456789,B
7250.000000,Throughput,1.202345,123456789,P
7250.000000,Throughput,1.201655,123456789,System
7250.000000,Utilization,0.891015,123456789,A
7250.000000,Utilization,0.887235,123456789,B
7250.000000,Utilization,0.831704,123456789,P
7250.000000,Utilization,0.997902,123456789,System
7250.000000,WaitTime,1.716119,123456789,A
7250.000000,WaitTime,2.858245,123456789,B
7250.000000,WaitTime,3.270939,123456789,P
7500.000000,ResponseTime,1.970574,123456789,A
7500.000000,ResponseTime,3.665783,123456789,B
7500.000000,ResponseTime,4.052892,123456789,P
7500.000000,ResponseTime,13.634153,123456789,System
7500.000000,Population,7.108908,123456789,A
7500.000000,Population,4.409692,123456789,B
7500.000000,Population,4.872494,123456789,P
7500.000000,Population,16.389624,123456789,System
7500.000000,Throughput,3.607467,123456789,A
7500.000000,Throughput,1.202933,123456789,B
7500.000000,Throughput,1.201733,123456789,P
7500.000000,Throughput,1.201733,123456789,System
7500.000000,Utilization,0.890696,123456789,A
7500.000000,Utilization,0.889095,123456789,B
7500.000000,Utilization,0.833138,123456789,P
7500.000000,Utilization,0.997904,123456789,System
7500.000000,WaitTime,1.723684,123456789,A
7500.000000,WaitTime,2.861907,123456789,B
7500.000000,WaitTime,3.360033,123456789,P
7750.000000,ResponseTime,1.963913,123456789,A
7750.000000,ResponseTime,3.643235,123456789,B
7750.000000,ResponseTime,3.999944,123456789,P
7750.000000,ResponseTime,13.519776,123456789,System
7750.000000,Population,7.088357,123456789,A
7750.000000,Population,4.381444,123456789,B
7750.000000,Population,4.802414,123456789,P
7750.000000,Population,16.269891,123456789,System
7750.000000,Throughput,3.603613,123456789,A
7750.000000,Throughput,1.202194,123456789,B
7750.000000,Throughput,1.199871,123456789,P
7750.000000,Throughput,1.199613,123456789,System
7750.000000,Utilization,0.890792,123456789,A
7750.000000,Utilization,0.888991,123456789,B
7750.000000,Utilization,0.830649,123456789,P
7750.000000,Utilization,0.997832,123456789,System
7750.000000,WaitTime,1.716892,123456789,A
7750.000000,WaitTime,2.840411,123456789,B
7750.000000,WaitTime,3.308073,123456789,P
8000.000000,ResponseTime,1.964951,123456789,A
8000.000000,ResponseTime,3.628796,123456789,B
8000.000000,ResponseTime,4.092341,123456789,P
8000.000000,ResponseTime,13.614028,123456789,System
8000.000000,Population,7.073394,123456789,A
8000.000000,Population,4.355008,123456789,B
8000.000000,Population,4.908749,123456789,P
8000.000000,Population,16.336935,123456789,System
8000.000000,Throughput,3.599250,123456789,A
8000.000000,Throughput,1.200125,123456789,B
8000.000000,Throughput,1.199375,123456789,P
8000.000000,Throughput,1.199125,123456789,System
8000.000000,Utilization,0.890188,123456789,A
8000.000000,Utilization,0.886089,123456789,B
8000.000000,Utilization,0.829814,123456789,P
8000.000000,Utilization,0.997497,123456789,System
8000.000000,WaitTime,1.717672,123456789,A
8000.000000,WaitTime,2.827004,123456789,B
8000.000000,WaitTime,3.400566,123456789,P
8250.000000,ResponseTime,2.020772,123456789,A
8250.000000,ResponseTime,3.590379,123456789,B
8250.000000,ResponseTime,4.106313,123456789,P
8250.000000,ResponseTime,13.752376,123456789,System
8250.000000,Population,7.286879,123456789,A
8250.000000,Population,4.310747,123456789,B
8250.000000,Population,4.929923,123456789,P
8250.000000,Population,16.524924,123456789,System
8250.000000,Throughput,3.596848,123456789,A
8250.000000,Throughput,1.200000,123456789,B
8250.000000,Throughput,1.198061,123456789,P
8250.000000,Throughput,1.197455,123456789,System
8250.000000,Utilization,0.892478,123456789,A
8250.000000,Utilization,0.883069,123456789,B
8250.000000,Utilization,0.830760,123456789,P
8250.000000,Utilization,0.997487,123456789,System
8250.000000,WaitTime,1.772918,123456789,A
8250.000000,WaitTime,2.792526,123456789,B
8250.000000,WaitTime,3.413774,123456789,P
8500.000000,ResponseTime,2.075347,123456789,A
