Time,Metric,Value,Batch,Component
196817.936874,rt,2.299846,47,P
196817.936874,wait,1.578895,47,P
196817.936874,util,0.947686,47,P
196817.936874,pop,2.274977,47,P
196817.936874,thr,0.994518,47,P
196820.223715,rt,9.071468,47,System
196820.223715,pop,8.990171,47,System
196820.223715,util,0.982481,47,System
196820.223715,thr,0.993994,47,System
198210.007446,rt,0.774932,144,A
198210.007446,wait,0.531692,144,A
198210.007446,util,0.714025,144,A
198210.007446,pop,2.279940,144,A
198210.007446,thr,2.933799,144,A
199566.308183,rt,0.993698,145,A
199566.308183,wait,0.736888,145,A
199566.308183,util,0.774693,145,A
199566.308183,pop,2.991021,145,A
199566.308183,thr,3.019979,145,A
200895.351405,rt,0.959890,146,A
200895.351405,wait,0.716939,146,A
200895.351405,util,0.749293,146,A
200895.351405,pop,2.960447,146,A
200895.351405,thr,3.081916,146,A
200895.569300,rt,3.920524,48,B
200895.569300,wait,3.109907,48,B
200895.569300,util,0.823301,48,B
200895.569300,pop,3.930214,48,B
200895.569300,thr,1.003358,48,B
200897.560778,rt,2.135655,48,P
200897.560778,wait,1.450842,48,P
200897.560778,util,0.839320,48,P
200897.560778,pop,2.141412,48,P
200897.560778,thr,1.004014,48,P
200897.743038,rt,8.781270,48,System
200897.743038,pop,8.801215,48,System
200897.743038,util,0.985939,48,System
200897.743038,thr,1.004532,48,System
202248.909859,rt,0.941174,147,A
202248.909859,wait,0.686135,147,A
202248.909859,util,0.770779,147,A
202248.909859,pop,2.845020,147,A
202248.909859,thr,3.026098,147,A
203596.273394,rt,1.045825,148,A
203596.273394,wait,0.795248,148,A
203596.273394,util,0.760951,148,A
203596.273394,pop,3.176542,148,A
203596.273394,thr,3.040011,148,A
204915.784399,rt,3.484307,49,B
204915.784399,wait,2.704961,49,B
204915.784399,util,0.792544,49,B
204915.784399,pop,3.542640,49,B
204915.784399,thr,1.018851,49,B
204916.888684,rt,1.342379,149,A
204916.888684,wait,1.086858,149,A
204916.888684,util,0.792320,149,A
204916.888684,pop,4.163301,149,A
204916.888684,thr,3.101585,149,A
204919.304859,rt,2.487145,49,P
204919.304859,wait,1.792975,49,P
204919.304859,util,0.808606,49,P
204919.304859,pop,2.535110,49,P
204919.304859,thr,1.018464,49,P
204919.699988,rt,9.300127,49,System
204919.699988,pop,9.463294,49,System
204919.699988,util,0.988210,49,System
204919.699988,thr,1.018410,49,System
206326.021303,rt,0.914413,150,A
206326.021303,wait,0.666270,150,A
206326.021303,util,0.721385,150,A
206326.021303,pop,2.658285,150,A
206326.021303,thr,2.906753,150,A
207648.902490,rt,0.926791,151,A
207648.902490,wait,0.678596,151,A
207648.902490,util,0.769182,151,A
207648.902490,pop,2.875155,151,A
207648.902490,thr,3.096272,151,A
209054.768439,rt,3.933742,50,B
209054.768439,wait,3.129938,50,B
209054.768439,util,0.726495,50,B
209054.768439,pop,3.893218,50,B
209054.768439,thr,0.989615,50,B
209055.072225,rt,0.916099,152,A
209055.072225,wait,0.666425,152,A
209055.072225,util,0.726511,152,A
209055.072225,pop,2.662604,152,A
209055.072225,thr,2.912877,152,A
209056.203381,rt,2.086906,50,P
209056.203381,wait,1.398319,50,P
209056.203381,util,0.520273,50,P
209056.203381,pop,2.063076,50,P
209056.203381,thr,0.990114,50,P
209056.322718,rt,8.777692,50,System
209056.322718,pop,8.687803,50,System
209056.322718,util,0.976549,50,System
209056.322718,thr,0.990180,50,System
210408.656742,rt,0.932990,153,A
210408.656742,wait,0.681700,153,A
210408.656742,util,0.761545,153,A
210408.656742,pop,2.829673,153,A
